libro1.txt libro2.txt libro3.txt libro4.txt libro5.txt libro6.txt 
acud 1 1 0 0 1 1 
ayud 1 0 1 0 1 1 
salva, 1 0 0 0 0 0 
dandol 0 0 0 0 0 0 
armas 1 0 0 0 0 0 
tumulari 1 0 0 0 0 0 
pud 1 0 0 0 0 0 
defend 1 0 1 0 0 0 
viaje. 1 1 0 0 0 0 
una 1 1 1 1 1 1 
bree, 0 0 0 0 0 0 
hobbits 1 1 1 1 0 1 
acud 1 1 0 0 1 1 
pos 1 1 0 1 1 0 
«el 0 0 0 0 0 0 
poney 0 0 0 0 0 0 
pisador» 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
qued 1 0 1 0 1 0 
gandalf. 0 0 0 0 0 0 
accidentalmente, 0 0 0 0 0 0 
hobbit 1 1 1 1 0 1 
pon 1 1 1 1 1 1 
anill 1 0 0 0 0 0 
alert 1 0 0 1 1 0 
nazgûl, 0 0 0 0 0 0 
servidor 1 0 0 0 0 0 
sauron 0 0 0 0 0 0 
persig 1 0 0 0 0 0 
arrebatarselo. 0 0 0 0 0 0 
graci 1 0 0 1 0 0 
amig 1 1 1 0 0 0 
gandalf, 0 0 0 0 0 0 
llam 1 1 0 0 1 1 
aragorn, 0 0 0 0 0 0 
hobbit 1 1 1 1 0 1 
nob, 0 0 0 0 0 0 
logr 1 1 0 0 1 1 
salv 1 0 1 0 0 0 
nazgûl 0 0 0 0 0 0 
atac 1 1 0 1 1 1 
pos 1 1 0 1 1 0 
noche. 1 0 0 0 0 0 
al 1 1 1 1 1 1 
dia 0 1 1 1 0 0 
siguiente, 1 0 0 0 0 0 
acompañ 1 1 0 0 1 1 
aragorn, 0 0 0 0 0 0 
hobbits 1 1 1 1 0 1 
part 1 1 1 1 1 1 
rivendel. 0 0 0 0 0 0 
en 1 1 1 1 1 1 
par 1 1 1 1 1 1 
amon 0 0 0 0 0 0 
sûl, 0 0 0 0 0 0 
nazgûl 0 0 0 0 0 0 
atac 1 1 0 1 1 1 
nuevo, 1 0 0 0 0 0 
hir 1 0 1 0 1 1 
frod 0 0 0 0 0 0 
gravedad. 1 0 0 0 0 0 
tras 1 1 1 1 1 1 
combatirles, 1 0 0 0 0 0 
logr 1 1 0 0 1 1 
escap 1 1 1 1 0 1 
lleg 1 1 1 1 1 1 
vad 1 1 0 1 0 0 
bruinen, 0 0 0 0 0 0 
encuentr 1 0 1 1 1 1 
glorfindel, 0 0 0 0 0 0 
elfo 1 1 0 0 0 1 
cas 1 1 1 0 1 1 
elrond, 0 0 0 0 0 0 
acompañ 1 1 0 0 1 1 
rivendel. 0 0 0 0 0 0 
de 1 1 1 1 1 1 
perseguidos, 1 0 0 0 0 0 
glorfindel 0 0 0 0 0 0 
orden 1 1 0 0 0 0 
caball 1 0 1 0 1 0 
asfaloth 0 0 0 0 0 0 
llev 1 1 1 1 1 0 
frod 0 0 0 0 0 0 
mont 1 1 0 1 1 1 
y, 1 1 0 1 1 1 
lleg 1 1 1 1 1 1 
rio, 0 0 1 0 0 0 
nazgûl 0 0 0 0 0 0 
arrastr 1 1 0 0 0 0 
corrient 1 0 0 0 0 0 
graci 1 0 0 1 0 0 
rivendel. 0 0 0 0 0 0 
dias 0 0 0 0 0 0 
despues, 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
despert 0 1 0 0 0 1 
gandalf 0 0 0 0 0 0 
rivendel 0 0 0 0 0 0 
cont 1 1 1 1 1 1 
ocurr 0 1 0 1 1 0 
nazgûl 0 0 0 0 0 0 
elfos 0 1 0 0 0 1 
llev 1 1 1 1 1 0 
elrond 0 0 0 0 0 0 
encarg 0 1 0 0 0 0 
curacion. 0 0 0 0 0 0 
lueg 1 0 0 1 0 0 
celebr 1 1 0 0 0 0 
concili 0 1 0 0 0 0 
acud 1 1 0 0 1 1 
represent 0 1 1 0 0 0 
distint 0 1 0 0 0 1 
puebl 0 1 0 0 0 0 
tierr 0 0 0 0 0 0 
medi 0 0 1 0 0 1 
trat 1 1 1 0 1 0 
ocurr 0 1 0 1 1 0 
tem 0 1 1 1 0 0 
anillo. 0 0 0 0 0 0 
en 1 1 1 1 1 1 
el, 1 1 0 0 0 1 
gandalf 0 0 0 0 0 0 
revel 0 1 1 0 1 0 
traicion 0 0 0 1 0 0 
saruman, 0 0 0 0 0 0 
ped 0 1 0 0 0 1 
consej 0 1 1 1 1 0 
retuv 0 1 0 0 0 0 
pres 0 1 1 1 1 0 
isengard, 0 0 0 0 0 0 
decid 1 1 1 1 1 0 
anill 1 0 0 0 0 0 
deb 1 1 0 1 1 1 
destru 0 1 1 0 0 1 
fueg 0 1 0 1 0 0 
orodruin, 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
ofrec 0 1 0 0 1 0 
llev 1 1 1 1 1 0 
alli. 0 0 0 0 0 0 
sam, 0 0 0 0 0 0 
invit 0 1 0 0 0 0 
concili 0 1 0 0 0 0 
escuch 0 1 0 0 0 0 
escondidas, 0 1 0 0 0 0 
ofrec 0 1 0 0 1 0 
acompañ 1 1 0 0 1 1 
amo 1 1 0 1 0 1 
elrond 0 0 0 0 0 0 
decid 1 1 1 1 1 0 
tard 0 1 1 0 0 1 
gandalf, 0 0 0 0 0 0 
aragorn, 0 0 0 0 0 0 
merry, 0 0 0 0 0 0 
pippin, 0 0 0 0 0 0 
enan 0 1 0 0 0 0 
llam 1 1 0 0 1 1 
gimli, 0 0 0 0 0 0 
princip 1 0 0 0 0 0 
legol 0 0 0 0 0 0 
elfos 0 1 0 0 0 1 
bosqu 0 1 1 0 1 0 
negr 0 0 0 0 1 0 
hereder 0 1 0 0 0 0 
senescal 0 1 0 0 1 1 
gondor, 0 0 0 0 0 0 
boromir, 0 0 0 0 0 0 
acompañ 1 1 0 0 1 1 
tambien, 0 0 0 0 0 0 
form 1 1 1 0 1 1 
llam 1 1 0 0 1 1 
comun 0 0 1 0 0 0 
anillo. 0 0 0 0 0 0 
dos 1 1 1 1 1 1 
mes 0 1 0 0 0 1 
despues, 0 0 0 0 0 0 
comun 0 0 1 0 0 0 
inic 0 1 0 0 1 1 
viaje. 1 1 0 0 0 0 
pas 1 1 1 1 1 1 
acebed 0 0 0 0 0 0 
(la 0 1 0 0 0 0 
antigu 0 1 0 0 0 0 
eregion), 0 0 0 0 0 0 
lleg 1 1 1 1 1 1 
montañ 0 1 0 0 0 1 
nubl 0 0 0 0 0 0 
decid 1 1 1 1 1 0 
cruz 0 1 0 0 0 0 
caradhras, 0 0 0 0 0 0 
acerc 0 1 0 0 0 0 
pas 1 1 1 1 1 1 
rohan, 0 0 0 0 0 0 
estar 0 1 0 0 0 0 
isengard 0 0 0 0 0 0 
captur 1 1 0 1 0 0 
saruman. 0 0 0 0 0 0 
sin 1 1 1 1 0 1 
embargo, 1 1 0 1 0 1 
muert 0 1 0 1 1 1 
hobbits 1 1 1 1 0 1 
mal 0 1 1 1 1 1 
clim 0 1 0 0 0 0 
montaña, 0 1 0 0 0 0 
comun 0 0 1 0 0 0 
vio 0 1 1 0 1 0 
oblig 0 1 1 1 1 0 
vuelt 0 1 0 0 1 0 
atraves 0 1 0 1 0 0 
montañ 0 1 0 0 0 1 
min 1 1 1 1 1 1 
moria. 0 0 0 0 0 0 
durant 1 0 0 0 1 1 
camin 1 1 0 1 1 1 
alli, 0 0 0 0 0 0 
comun 0 0 1 0 0 0 
atac 1 1 0 1 1 1 
lob 0 1 0 0 0 0 
sauron, 0 0 0 0 0 0 
consigu 0 1 1 1 1 0 
rechaz 0 1 0 0 0 0 
lleg 1 1 1 1 1 1 
puert 0 1 0 0 1 0 
oest 0 0 0 0 0 0 
moria. 0 0 0 0 0 0 
alli 0 0 0 0 0 0 
atac 1 1 0 1 1 1 
guardian 0 0 0 0 0 0 
agua, 0 1 0 0 0 0 
monstru 0 1 0 0 0 0 
parec 1 1 0 1 0 1 
krak 0 1 0 0 0 0 
asent 0 1 0 0 0 0 
lag 0 1 0 0 0 1 
cercan 0 1 0 0 0 0 
puert 0 1 0 0 1 0 
encerr 0 1 1 0 0 0 
minas. 0 1 0 0 0 0 
poc 0 0 0 0 0 1 
lleg 1 1 1 1 1 1 
cam 1 1 1 1 1 1 
mazarbul, 0 0 0 0 0 0 
tumb 0 1 0 0 0 0 
balin, 0 0 0 0 0 0 
señor 0 1 0 0 0 0 
moria, 0 0 0 0 0 0 
gandalf 0 0 0 0 0 0 
encontr 1 1 1 0 1 1 
libr 0 1 1 1 1 0 
enan 0 1 0 0 0 0 
narr 0 1 1 0 0 0 
acontec 0 1 1 0 0 0 
ocurr 0 1 0 1 1 0 
min 1 1 1 1 1 1 
puebl 0 1 0 0 0 0 
aniquil 0 1 0 0 0 0 
