libro1.txt libro2.txt libro3.txt libro4.txt libro5.txt libro6.txt 
isengard. 0 0 0 0 0 0 
los 1 1 1 1 1 1 
hobbits 1 1 1 1 0 1 
disfrut 0 0 1 0 0 0 
desayun 0 0 1 0 0 0 
cuent 1 1 1 1 1 1 
amig 1 1 1 0 0 0 
experient 0 0 0 0 0 0 
viv 1 0 1 0 0 0 
separacion, 0 0 0 0 0 0 
relat 0 0 1 0 0 0 
ents 0 0 0 0 0 0 
derrot 0 1 1 0 0 1 
sarum 0 0 0 0 0 0 
destru 0 1 1 0 0 1 
isengard. 0 0 0 0 0 0 
mas 1 0 0 0 1 1 
tarde, 0 0 1 0 0 1 
dirig 0 0 1 0 1 1 
orthanc 0 0 0 0 0 0 
manten 0 0 1 0 0 0 
dialog 0 0 0 0 0 0 
mag 1 1 1 0 0 1 
blanco, 0 0 0 0 0 0 
atrap 1 0 1 1 0 0 
torre. 0 0 1 0 0 0 
la 1 1 1 1 1 1 
intencion 0 0 0 0 0 0 
gandalf 0 0 0 0 0 0 
darl 0 0 1 0 0 0 
oportun 0 0 1 0 0 0 
sarum 0 0 0 0 0 0 
retract 0 0 1 0 0 0 
actos 0 0 1 0 0 0 
ayud 1 0 1 0 1 1 
venc 1 1 1 1 0 0 
sauron. 0 0 0 0 0 0 
per 1 1 1 1 1 1 
nieg 0 0 1 0 0 0 
decid 1 1 1 1 1 0 
dej 1 0 1 1 0 1 
custodi 0 0 1 1 0 0 
barbol 0 0 0 0 0 0 
encerr 0 1 1 0 0 0 
orthanc. 0 0 0 0 0 0 
previ 0 0 0 0 0 1 
ello, 0 0 1 0 0 1 
grim 0 0 0 0 0 0 
arroj 0 1 1 0 0 1 
objet 0 0 1 1 0 0 
gandalf 0 0 0 0 0 0 
apresur 0 0 1 0 1 0 
guard 1 1 1 0 0 0 
ropas, 0 0 1 0 0 0 
quit 0 1 1 0 0 0 
pippin. 0 0 0 0 0 0 
pippin, 0 0 0 0 0 0 
intrig 0 0 1 0 0 0 
curios 0 0 1 0 0 0 
objet 0 0 1 1 0 0 
gandalf 0 0 0 0 0 0 
guard 1 1 1 0 0 0 
celosamente, 0 0 1 0 0 0 
aprovech 0 0 1 0 0 1 
dorm 0 0 1 0 0 0 
campament 0 0 1 0 0 0 
dol 1 0 1 1 1 1 
baran, 0 0 0 0 0 0 
tom 0 0 1 1 1 1 
objet 0 0 1 1 0 0 
trat 1 1 1 0 1 0 
palant 0 0 0 0 0 0 
orthanc, 0 0 0 0 0 0 
mir 0 1 1 1 1 1 
qued 1 0 1 0 1 0 
atrap 1 0 1 1 0 0 
mir 0 1 1 1 1 1 
sauron, 0 0 0 0 0 0 
puest 0 0 1 0 1 0 
comunic 0 0 1 0 0 0 
barad-dûr. 0 0 0 0 0 0 
tras 1 1 1 1 1 1 
horribl 0 0 1 0 0 0 
visiones, 0 0 1 0 0 0 
involuntari 0 0 1 0 0 0 
hobbit 1 1 1 1 0 1 
revel 0 1 1 0 1 0 
sauron 0 0 0 0 0 0 
estrategi 0 0 1 0 0 0 
gandalf. 0 0 0 0 0 0 
esta 1 1 1 1 1 1 
desafortun 0 0 1 0 0 0 
accion 0 0 0 0 0 0 
oblig 0 1 1 1 1 0 
mag 1 1 1 0 0 1 
pippin 0 0 0 0 0 0 
min 1 1 1 1 1 1 
tirith, 0 0 0 0 0 0 
capital 0 0 1 0 0 0 
rein 0 0 1 1 0 0 
gondor, 0 0 0 0 0 0 
pon 1 1 1 1 1 1 
salv 1 0 1 0 0 0 
«señor 0 0 0 0 0 0 
oscuro» 0 0 1 0 0 0 
prepar 0 0 1 1 0 0 
defens 0 1 1 0 0 0 
ciud 0 1 1 0 1 0 
precipit 0 0 1 0 0 0 
acontecimientos. 0 0 1 0 0 0 
tras 1 1 1 1 1 1 
separ 0 0 1 1 0 0 
rest 1 1 0 1 0 0 
compañia, 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
sam 0 0 1 0 0 0 
emprend 0 0 0 1 0 1 
camin 1 1 0 1 1 1 
mordor 0 0 0 0 0 0 
emyn 0 0 0 0 0 0 
muil. 0 0 0 0 0 0 
tras 1 1 1 1 1 1 
dias 0 0 0 0 0 0 
vag 0 0 0 1 0 0 
busc 1 1 0 1 1 1 
camin 1 1 0 1 1 1 
permit 0 0 0 1 0 0 
descend 0 0 0 1 0 0 
este, 0 0 1 1 0 0 
encuentr 1 0 1 1 1 1 
gollum, 0 0 0 0 0 0 
sigu 1 1 1 1 1 0 
moria. 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
acab 1 0 0 1 1 1 
consiguiendo, 0 0 0 1 0 0 
amenaz 0 0 0 1 0 0 
argument 0 0 0 1 0 0 
convincentes, 0 0 0 1 0 0 
criatur 1 0 0 1 0 1 
gui 1 1 1 1 0 1 
mordor. 0 0 0 0 0 0 
tras 1 1 1 1 1 1 
sal 1 1 1 1 1 0 
emyn 0 0 0 0 0 0 
muil 0 0 0 0 0 0 
atraves 0 1 0 1 0 0 
cienag 0 0 0 0 0 0 
muertos, 0 0 0 0 0 0 
lleg 1 1 1 1 1 1 
puert 0 1 0 0 1 0 
negra. 0 0 0 0 0 0 
sin 1 1 1 1 0 1 
embargo, 1 1 0 1 0 1 
enorm 0 0 0 1 0 0 
cantid 0 0 0 1 0 0 
enemig 0 1 0 1 1 1 
custodi 0 0 1 1 0 0 
imposibilit 0 0 0 1 0 0 
entrar 1 0 0 1 1 0 
mordor 0 0 0 0 0 0 
y, 1 1 0 1 1 1 
consej 0 1 1 1 1 0 
gollum, 0 0 0 0 0 0 
viajer 0 0 0 1 0 0 
decid 1 1 1 1 1 0 
tom 0 0 1 1 1 1 
camin 1 1 0 1 1 1 
pas 1 1 1 1 1 1 
cirith 0 0 0 0 0 0 
ungol, 0 0 0 0 0 0 
supon 0 0 0 1 1 0 
vigil 0 0 0 1 0 0 
sauron. 0 0 0 0 0 0 
en 1 1 1 1 1 1 
ithilien, 0 0 0 0 0 0 
descu 1 0 1 1 0 0 
sam, 0 0 0 0 0 0 
apag 0 0 0 1 0 0 
fueg 0 1 0 1 0 0 
usad 0 1 0 1 0 0 
comida, 0 0 0 1 0 0 
faram 0 0 0 0 0 0 
grup 0 0 0 1 1 0 
montarac 0 0 0 1 1 0 
atrap 1 0 1 1 0 0 
pon 1 1 1 1 1 1 
custodia, 0 0 0 1 0 0 
libr 0 1 1 1 1 0 
escaramuz 0 0 0 1 0 0 
trop 0 0 0 1 1 1 
harad. 0 0 0 0 0 0 
gollum, 0 0 0 0 0 0 
escap 1 1 1 1 0 1 
frod 0 0 0 0 0 0 
sam 0 0 1 0 0 0 
descubiert 1 0 0 1 0 0 
montaraces, 0 0 0 1 0 0 
acab 1 0 0 1 1 1 
captur 1 1 0 1 0 0 
ojos 0 0 0 1 0 0 
frodo, 0 0 0 0 0 0 
criatur 1 0 0 1 0 1 
sient 0 0 0 1 0 0 
defraud 0 0 0 1 0 0 
traicion 0 0 0 1 0 0 
"amo", 0 0 0 1 0 0 
desat 0 0 0 1 0 0 
asi, 0 0 0 0 0 0 
vuelv 0 0 0 1 1 0 
aparec 1 1 0 1 0 1 
personal 0 0 0 1 0 0 
obsesion 0 0 0 1 0 0 
anillo. 0 0 0 0 0 0 
al 1 1 1 1 1 1 
descubr 0 0 1 1 0 0 
faram 0 0 0 0 0 0 
existent 0 0 0 0 0 0 
objeto, 0 0 0 1 0 0 
tanto, 0 0 0 1 1 1 
motiv 1 0 0 1 0 0 
viaje, 1 0 0 1 1 0 
comienz 1 0 0 1 1 1 
debat 0 0 0 1 0 0 
contradiccion 0 0 0 1 0 0 
el, 1 1 0 0 0 1 
final 0 0 1 1 0 0 
ley 0 0 0 1 0 0 
reino, 0 0 0 1 0 0 
capitan 0 0 0 0 1 0 
dej 1 0 1 1 0 1 
libr 0 1 1 1 1 0 
hobbits 1 1 1 1 0 1 
continu 0 0 0 1 0 1 
marcha. 0 0 0 1 0 0 
en 1 1 1 1 1 1 
vall 0 0 0 1 0 0 
morgul, 0 0 0 0 0 0 
gollum 0 0 0 0 0 0 
desaparec 1 0 0 1 0 0 
veces, 0 0 0 1 0 0 
plan 1 0 0 1 0 0 
traicion 0 0 0 1 0 0 
yend 0 0 0 1 1 0 
hurtadill 0 0 0 1 0 0 
prepar 0 0 1 1 0 0 
terreno. 0 0 0 1 0 0 
tras 1 1 1 1 1 1 
lleg 1 1 1 1 1 1 
desfilader 0 0 0 1 0 0 
cirith 0 0 0 0 0 0 
ungol 0 0 0 0 0 0 
sal 1 1 1 1 1 0 
trop 0 0 0 1 1 1 
rey 0 0 0 0 1 1 
brujo, 0 0 0 0 0 0 
march 0 0 0 1 0 1 
min 1 1 1 1 1 1 
tirith, 0 0 0 0 0 0 
viajer 0 0 0 1 0 0 
part 1 1 1 1 1 1 
«escaler 0 0 0 1 0 0 
recta» 0 0 0 1 0 0 
mordor. 0 0 0 0 0 0 
tras 1 1 1 1 1 1 
ascender, 0 0 0 1 0 0 
entran 1 0 1 1 1 1 
torech 0 0 0 0 0 0 
ungol, 0 0 0 0 0 0 
gollum 0 0 0 0 0 0 
vuelv 0 0 0 1 1 0 
desaparec 1 0 0 1 0 0 
alert 1 0 0 1 1 0 
ella-laraña, 0 0 0 0 0 0 
arañ 0 0 0 1 0 0 
gigante, 0 0 0 1 0 0 
presenci 0 0 0 1 1 0 
hobbits. 1 0 1 1 0 1 
estos 0 0 0 0 0 0 
atac 1 1 0 1 1 1 
just 0 0 0 1 1 0 
descubr 0 0 1 1 0 0 
salida; 0 0 0 1 0 0 
frod 0 0 0 0 0 0 
pic 0 0 0 1 0 0 
arañ 0 0 0 1 0 0 
entra 1 1 1 1 1 1 
inconscient 0 0 0 0 0 1 
asemej 0 0 0 1 0 0 
muerte, 0 0 0 1 0 1 
lleg 1 1 1 1 1 1 
ocurr 0 1 0 1 1 0 
graci 1 0 0 1 0 0 
intervencion 0 0 0 0 0 0 
sam, 0 0 0 0 0 0 
luch 0 0 0 1 1 1 
arañ 0 0 0 1 0 0 
oblig 0 1 1 1 1 0 
huir, 0 0 0 1 0 0 
malherida. 0 0 0 1 0 0 
sam, 0 0 0 0 0 0 
amo 1 1 0 1 0 1 
aparent 0 0 1 1 0 0 
muerto, 0 0 0 1 0 0 
decid 1 1 1 1 1 0 
continu 0 0 0 1 0 1 
mision 0 0 0 0 0 0 
tom 0 0 1 1 1 1 
anill 1 0 0 0 0 0 
unico, 0 0 0 0 0 0 
emprend 0 0 0 1 0 1 
camin 1 1 0 1 1 1 
morgai; 0 0 0 0 0 0 
recorr 0 0 0 1 0 0 
metr 0 0 0 1 0 0 
ve 1 1 1 1 1 1 
cuerp 0 0 0 1 1 1 
inert 0 0 0 1 0 0 
frod 0 0 0 0 0 0 
llev 1 1 1 1 1 0 
orcos. 0 1 0 0 1 0 
afortunadamente, 0 0 0 0 0 0 
sam 0 0 1 0 0 0 
oye 0 0 0 1 0 0 
coment 0 0 0 1 0 0 
frod 0 0 0 0 0 0 
muerto, 0 0 0 1 0 0 
inmoviliz 0 0 0 1 0 0 
venen 0 0 0 1 0 0 
araña. 0 0 0 1 0 0 
ocult 0 0 0 0 1 0 
anillo, 1 0 0 0 0 0 
hobbit 1 1 1 1 0 1 
march 0 0 0 1 0 1 
torr 0 0 1 0 0 0 
cirith 0 0 0 0 0 0 
ungol 0 0 0 0 0 0 
rescat 0 0 1 1 1 1 
amo. 0 0 0 1 0 0 
gandalf 0 0 0 0 0 0 
pippin 0 0 0 0 0 0 
cabalg 0 0 0 0 1 0 
min 1 1 1 1 1 1 
tirith 0 0 0 0 1 0 
lom 0 0 0 0 1 0 
sombragr 0 0 0 0 0 0 
y, 1 1 0 1 1 1 
dias 0 0 0 0 0 0 
viaje, 1 0 0 1 1 0 
lleg 1 1 1 1 1 1 
ciud 0 1 1 0 1 0 
present 0 1 1 0 1 0 
senescal 0 1 0 0 1 1 
denethor. 0 0 0 0 0 0 
pippin 0 0 0 0 0 0 
suces 0 0 0 0 1 0 
ocurr 0 1 0 1 1 0 
parth 0 0 0 0 0 0 
galen, 0 0 0 0 0 0 
inclu 0 0 0 0 1 0 
muert 0 1 0 1 1 1 
hijo, 0 0 0 0 1 0 
acab 1 0 0 1 1 1 
ofrec 0 1 0 0 1 0 
servici 0 0 0 0 1 0 
pag 0 0 0 1 1 0 
deud 0 0 0 0 1 0 
gratitud 0 0 0 0 1 0 
boromir. 0 0 0 0 0 0 
mientr 0 1 1 1 1 1 
tanto, 0 0 0 1 1 1 
camin 1 1 0 1 1 1 
edoras, 0 0 0 0 0 0 
aragorn 0 0 0 0 0 0 
rey 0 0 0 0 1 1 
theod 0 0 0 0 0 0 
encuentr 1 0 1 1 1 1 
vad 1 1 0 1 0 0 
isen 0 0 0 0 0 0 
halbarad, 0 0 0 0 0 0 
elladan, 0 0 0 0 0 0 
elroh 0 0 0 0 0 0 
compañ 1 1 0 0 1 1 
montarac 0 0 0 1 1 0 
norte, 0 0 0 0 1 0 
transmit 0 0 0 0 1 0 
dunad 0 0 0 0 0 0 
consej 0 1 1 1 1 0 
galadriel 0 0 0 0 0 0 
y, 1 1 0 1 1 1 
ellos, 0 0 0 0 1 1 
decid 1 1 1 1 1 0 
tom 0 0 1 1 1 1 
sender 0 0 0 0 1 1 
muertos, 0 0 0 0 0 0 
lleg 1 1 1 1 1 1 
sur 0 0 1 0 1 0 
gondor 0 0 0 0 0 0 
deten 0 0 0 0 1 0 
corsari 0 0 0 0 1 0 
umbar, 0 0 0 0 0 0 
que, 0 0 0 0 1 1 
hab 1 1 1 1 1 1 
tom 0 0 1 1 1 1 
ciud 0 1 1 0 1 0 
puert 0 1 0 0 1 0 
pelargir, 0 0 0 0 0 0 
dispon 0 0 0 0 1 0 
envi 0 0 0 0 1 0 
flot 0 0 0 0 1 0 
apoy 0 0 0 0 1 0 
rey 0 0 0 0 1 1 
brujo. 0 0 0 0 0 0 
legol 0 0 0 0 0 0 
gimli 0 0 0 0 0 0 
part 1 1 1 1 1 1 
aragorn 0 0 0 0 0 0 
sender 0 0 0 0 1 1 
alli 0 0 0 0 0 0 
convoc 0 0 1 0 1 0 
muert 0 1 0 1 1 1 
el 1 1 1 1 1 1 
sagrari 0 0 0 0 0 0 
estos, 0 0 0 0 0 0 
deb 1 1 0 1 1 1 
cumpl 1 0 0 0 1 0 
jurament 0 0 0 0 1 0 
isildur 0 0 0 0 0 0 
libr 0 1 1 1 1 0 
maldicion, 0 0 0 0 0 0 
acompañ 1 1 0 0 1 1 
luch 0 0 0 1 1 1 
corsarios. 0 0 0 0 1 0 
al 1 1 1 1 1 1 
quint 0 0 0 0 1 0 
dia 0 1 1 1 0 0 
estad 0 0 0 1 1 0 
gandalf 0 0 0 0 0 0 
pippin 0 0 0 0 0 0 
min 1 1 1 1 1 1 
tirith, 0 0 0 0 0 0 
sombr 0 0 0 0 1 0 
espes 0 0 0 0 1 0 
ocult 0 0 0 0 1 0 
luz 0 0 0 0 1 0 
sol 0 1 0 1 1 1 
comienz 1 0 0 1 1 1 
siti 0 0 0 0 1 0 
ciud 0 1 1 0 1 0 
ejercit 0 0 0 0 0 0 
rey 0 0 0 0 1 1 
brujo. 0 0 0 0 0 0 
faram 0 0 0 0 0 0 
oblig 0 1 1 1 1 0 
retir 0 0 0 0 1 0 
puest 0 0 1 0 1 0 
ramm 0 0 0 0 0 0 
echor 0 0 0 0 0 0 
huy 0 0 0 0 1 0 
ciudad, 0 1 0 0 1 0 
inform 1 1 1 0 1 1 
gandalf 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
camin 1 1 0 1 1 1 
tom 0 0 1 1 1 1 
entrar 1 0 0 1 1 0 
mordor. 0 0 0 0 0 0 
denethor, 0 0 0 0 0 0 
comienz 1 0 0 1 1 1 
mostr 0 0 0 0 1 0 
sintom 0 0 0 0 0 0 
locura, 0 0 0 0 1 0 
envi 0 0 0 0 1 0 
hij 0 0 0 0 1 1 
vuelt 0 1 0 0 1 0 
ramm 0 0 0 0 0 0 
echor 0 0 0 0 0 0 
mision 0 0 0 0 0 0 
impos 0 0 0 1 1 0 
deten 0 0 0 0 1 0 
enemigo; 0 0 0 0 1 0 
mision 0 0 0 0 0 0 
fracas 0 0 0 0 1 0 
faram 0 0 0 0 0 0 
regres 1 1 0 0 1 1 
gravement 0 0 0 0 1 0 
her 1 1 0 1 1 1 
halit 0 0 0 0 0 0 
negr 0 0 0 0 1 0 
nazgûl, 0 0 0 0 0 0 
termin 1 0 0 0 1 1 
enloquec 0 0 0 0 1 0 
denethor, 0 0 0 0 0 0 
decid 1 1 1 1 1 0 
cuerp 0 0 0 1 1 1 
cas 1 1 1 0 1 1 
mortuori 0 0 0 0 0 0 
senescal 0 1 0 0 1 1 
rath 0 0 0 0 0 0 
din 1 0 0 0 0 1 
intencion 0 0 0 0 0 0 
fuer 0 1 1 0 1 1 
quem 0 0 0 0 1 0 
pir 0 0 0 0 1 0 
funeraria. 0 0 0 0 1 0 
pippin, 0 0 0 0 0 0 
presenci 0 0 0 1 1 0 
ataqu 0 0 1 0 1 0 
locur 0 0 0 0 1 0 
denethor, 0 0 0 0 0 0 
acud 1 1 0 0 1 1 
busc 1 1 0 1 1 1 
gandalf. 0 0 0 0 0 0 
mientr 0 1 1 1 1 1 
tanto, 0 0 0 1 1 1 
ejercit 0 0 0 0 0 0 
rey 0 0 0 0 1 1 
bruj 0 0 0 0 0 0 
termin 1 0 0 0 1 1 
siti 0 0 0 0 1 0 
ciud 0 1 1 0 1 0 
lanz 0 0 0 0 1 0 
ataqu 0 0 1 0 1 0 
gran 1 0 0 0 0 1 
puert 0 1 0 0 1 0 
min 1 1 1 1 1 1 
tirith, 0 0 0 0 0 0 
derrib 0 0 0 0 1 0 
ayud 1 0 1 0 1 1 
gigantesc 0 0 0 0 1 0 
ariet 0 0 0 0 1 0 
llam 1 1 0 0 1 1 
grond. 0 0 0 0 0 0 
entonc 1 0 1 0 1 1 
rey 0 0 0 0 1 1 
bruj 0 0 0 0 0 0 
entra 1 1 1 1 1 1 
ciud 0 1 1 0 1 0 
gandalf, 0 0 0 0 0 0 
dirig 0 0 1 0 1 1 
resistencia, 0 0 0 0 1 0 
sal 1 1 1 1 1 0 
encuentro, 0 0 0 0 1 0 
enfrent 0 1 0 0 1 0 
car 0 1 0 1 1 1 
car 0 1 0 1 1 1 
nazgûl. 0 0 0 0 0 0 
en 1 1 1 1 1 1 
rohan, 0 0 0 0 0 0 
theod 0 0 0 0 0 0 
reun 1 0 0 0 0 0 
trop 0 0 0 1 1 1 
conoc 0 0 0 0 1 1 
el 1 1 1 1 1 1 
sagrario. 0 0 0 0 0 0 
durant 1 0 0 0 1 1 
cena, 0 0 0 0 1 0 
rey 0 0 0 0 1 1 
recib 0 0 1 0 1 1 
visit 0 0 0 0 1 1 
hirgon, 0 0 0 0 0 0 
emisari 0 0 0 0 1 0 
senescal 0 1 0 0 1 1 
denethor 0 0 0 0 0 0 
tra 1 1 1 1 1 1 
flech 0 0 0 0 1 1 
roja, 0 0 0 0 1 0 
señal 0 0 1 0 1 0 
gondor 0 0 0 0 0 0 
demand 0 0 0 0 1 0 
ayud 1 0 1 0 1 1 
roh 0 0 0 0 1 0 
cas 1 1 1 0 1 1 
necesidad. 0 0 0 0 1 0 
esto, 0 0 0 0 0 0 
espes 0 0 0 0 1 0 
nub 0 0 0 0 1 0 
negr 0 0 0 0 1 0 
envi 0 0 0 0 1 0 
mordor 0 0 0 0 0 0 
cubr 0 0 1 1 1 0 
region 0 1 0 0 0 0 
sur 0 0 1 0 1 0 
rio 1 0 1 1 1 0 
anduin, 0 0 0 0 0 0 
apresur 0 0 1 0 1 0 
moviliz 0 0 0 1 1 0 
ejercit 0 0 0 0 0 0 
roh 0 0 0 0 1 0 
mil 0 0 0 0 1 1 
lancer 0 0 0 0 1 0 
dispus 0 0 0 0 1 0 
min 1 1 1 1 1 1 
tirith. 0 0 0 0 1 0 
merry 0 0 0 0 0 0 
liber 0 0 1 0 1 0 
servici 0 0 0 0 1 0 
rey 0 0 0 0 1 1 
theod 0 0 0 0 0 0 
tamañ 0 0 0 0 1 0 
supondr 0 0 0 0 1 0 
problem 0 0 0 0 1 0 
hor 0 0 1 0 1 0 
encontr 1 1 1 0 1 1 
caball 1 0 1 0 1 0 
veloz 0 0 0 0 1 0 
estorb 0 0 0 0 1 0 
jinet 0 0 0 0 1 0 
llev 1 1 1 1 1 0 
grupa. 0 0 0 0 1 0 
cuand 1 0 1 1 1 0 
ejercit 0 0 0 0 0 0 
partiendo, 0 0 0 0 1 0 
jinet 0 0 0 0 1 0 
llam 1 1 0 0 1 1 
dernhelm, 0 0 0 0 0 0 
tom 0 0 1 1 1 1 
merry 0 0 0 0 0 0 
mont 1 1 0 1 1 1 
el, 1 1 0 0 0 1 
ocult 0 0 0 0 1 0 
ropajes. 0 0 0 0 1 0 
el 1 1 1 1 1 1 
ejercit 0 0 0 0 0 0 
vio 0 1 1 0 1 0 
oblig 0 1 1 1 1 0 
acamp 0 0 0 0 1 0 
bosqu 0 1 1 0 1 0 
druadan, 0 0 0 0 0 0 
batidores, 0 0 0 0 1 0 
mill 0 0 0 0 1 1 
esper 0 1 0 0 1 1 
ejercit 0 0 0 0 0 0 
orcos. 0 1 0 0 1 0 
graci 1 0 0 1 0 0 
ayud 1 0 1 0 1 1 
ghân-buri-ghân, 0 0 0 0 0 0 
jef 0 0 0 0 1 0 
raz 1 0 0 0 1 1 
druedain 0 0 0 0 0 0 
habit 0 0 0 0 1 0 
bosque, 0 0 0 0 1 0 
rohirrim 0 0 0 0 1 0 
tom 0 0 1 1 1 1 
camin 1 1 0 1 1 1 
altern 0 0 0 0 1 0 
y, 1 1 0 1 1 1 
sext 0 0 0 0 1 0 
dia 0 1 1 1 0 0 
cabalgata, 0 0 0 0 1 0 
lleg 1 1 1 1 1 1 
ramm 0 0 0 0 0 0 
echor. 0 0 0 0 0 0 
theod 0 0 0 0 0 0 
dispus 0 0 0 0 1 0 
trop 0 0 0 1 1 1 
lanz 0 0 0 0 1 0 
ataque, 0 0 0 0 1 0 
just 0 0 0 1 1 0 
rey 0 0 0 0 1 1 
bruj 0 0 0 0 0 0 
penetr 0 0 0 0 1 0 
min 1 1 1 1 1 1 
tirith. 0 0 0 0 1 0 
fue 0 1 1 1 1 1 
comenz 0 1 0 0 1 0 
batall 0 0 1 0 1 0 
camp 0 0 1 0 1 0 
pelennor. 0 0 0 0 0 0 
los 1 1 1 1 1 1 
rohirrim 0 0 0 0 1 0 
retroced 0 0 0 0 1 0 
enemig 0 1 0 1 1 1 
hombr 0 0 0 0 1 0 
gondor 0 0 0 0 0 0 
romp 0 0 0 0 1 0 
sitio, 0 0 0 0 1 0 
sal 1 1 1 1 1 0 
luch 0 0 0 1 1 1 
camp 0 0 1 0 1 0 
abierto. 0 0 0 0 1 0 
durant 1 0 0 0 1 1 
batalla, 0 0 1 0 1 0 
rey 0 0 0 0 1 1 
bruj 0 0 0 0 0 0 
atac 1 1 0 1 1 1 
theod 0 0 0 0 0 0 
caballo, 0 0 0 0 1 0 
crinblanca, 0 0 0 0 0 0 
asust 0 0 0 0 1 0 
volte 0 0 0 0 1 0 
jinete, 0 0 0 0 1 0 
cayend 0 0 0 0 1 0 
el. 1 0 0 0 0 0 
no 1 1 1 1 1 1 
obstante, 0 0 0 0 1 0 
nazgûl 0 0 0 0 0 0 
dispon 0 0 0 0 1 0 
remat 0 0 0 0 1 0 
rey, 0 0 0 0 1 0 
dernhelm 0 0 0 0 0 0 
interpon 0 0 0 0 1 0 
revel 0 1 1 0 1 0 
identidad, 0 0 0 0 1 0 
eowyn, 0 0 0 0 0 0 
sobrin 1 0 0 0 1 0 
rey 0 0 0 0 1 1 
herman 0 1 0 0 1 1 
eomer. 0 0 0 0 0 0 
merry, 0 0 0 0 0 0 
observ 0 0 0 0 1 0 
escena, 0 0 0 0 1 0 
tom 0 0 1 1 1 1 
espad 0 0 0 0 1 0 
nazgûl 0 0 0 0 0 0 
estoc 0 0 0 0 1 0 
tendon, 0 0 0 0 0 0 
eowyn, 0 0 0 0 0 0 
braz 0 0 0 0 1 0 
malherido, 0 0 0 0 1 0 
descarg 0 0 0 0 1 0 
golp 0 0 0 0 1 0 
espad 0 0 0 0 1 0 
yelm 0 0 0 0 1 0 
rey 0 0 0 0 1 1 
brujo, 0 0 0 0 0 0 
muere. 0 0 0 0 1 0 
es 1 1 1 1 1 1 
lleg 1 1 1 1 1 1 
harlond 0 0 0 0 0 0 
barc 0 1 0 0 1 1 
corsari 0 0 0 0 1 0 
orcos 0 1 0 0 1 1 
ven 1 1 1 1 1 1 
sorprend 1 0 0 0 1 0 
baj 0 0 0 1 1 1 
aragorn, 0 0 0 0 0 0 
legol 0 0 0 0 0 0 
gimli, 0 0 0 0 0 0 
acompañ 1 1 0 0 1 1 
cient 0 0 0 0 1 1 
hombr 0 0 0 0 1 0 
sur 0 0 1 0 1 0 
gondor 0 0 0 0 0 0 
sum 0 0 0 0 1 1 
batall 0 0 1 0 1 0 
victoria. 0 0 0 0 1 0 
gandalf, 0 0 0 0 0 0 
alert 1 0 0 1 1 0 
pippin, 0 0 0 0 0 0 
vuelv 0 0 0 1 1 0 
sext 0 0 0 0 1 0 
circul 0 0 0 0 0 0 
min 1 1 1 1 1 1 
tirith 0 0 0 0 1 0 
batall 0 0 1 0 1 0 
trat 1 1 1 0 1 0 
deten 0 0 0 0 1 0 
denethor. 0 0 0 0 0 0 
al 1 1 1 1 1 1 
lleg 1 1 1 1 1 1 
rath 0 0 0 0 0 0 
din 1 0 0 0 0 1 
trab 0 0 0 0 1 0 
luch 0 0 0 1 1 1 
enloquec 0 0 0 0 1 0 
senescal 0 1 0 0 1 1 
logr 1 1 0 0 1 1 
rescat 0 0 1 1 1 1 
moribund 0 0 0 0 1 0 
faramir, 0 0 0 0 0 0 
denethor 0 0 0 0 0 0 
muer 0 1 1 1 1 1 
pira. 0 0 0 0 1 0 
finaliz 0 0 0 0 0 0 
batalla, 0 0 1 0 1 0 
capitan 0 0 0 0 1 0 
ejercit 0 0 0 0 0 0 
deciden, 0 0 0 0 1 0 
ide 1 0 1 1 1 0 
gandalf, 0 0 0 0 0 0 
desvi 0 0 0 0 1 0 
atencion 0 0 0 0 0 0 
sauron 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
cumpl 1 0 0 0 1 0 
mision 0 0 0 0 0 0 
y, 1 1 0 1 1 1 
fuerz 0 0 1 0 1 0 
quedan, 0 0 0 0 1 0 
dirig 0 0 1 0 1 1 
puert 0 1 0 0 1 0 
negra. 0 0 0 0 0 0 
una 1 1 1 1 1 1 
alli 0 0 0 0 0 0 
neg 1 1 0 0 1 1 
condicion 0 0 0 0 1 0 
sauron, 0 0 0 0 0 0 
inici 0 1 0 0 1 1 
batalla. 0 0 0 0 1 0 
deb 1 1 0 1 1 1 
codici 0 0 0 0 0 1 
despert 0 1 0 0 0 1 
cot 0 0 0 0 0 1 
mall 0 0 0 0 0 1 
mithril 0 0 0 0 0 1 
frodo, 0 0 0 0 0 0 
orcos 0 1 0 0 1 1 
cirith 0 0 0 0 0 0 
ungol 0 0 0 0 0 0 
acab 1 0 0 1 1 1 
mat 0 0 0 0 1 1 
ellos, 0 0 0 0 1 1 
facilit 0 0 0 0 0 1 
rescat 0 0 1 1 1 1 
amo 1 1 0 1 0 1 
sam. 0 0 0 0 0 0 
disfraz 0 0 0 0 0 0 
ropaj 0 0 0 0 1 1 
orcos, 0 0 0 0 0 1 
hobbits 1 1 1 1 0 1 
emprend 0 0 0 1 0 1 
viaj 1 1 0 1 1 1 
orodruin, 0 0 0 0 0 0 
incorpor 0 0 0 0 0 1 
trop 0 0 0 1 1 1 
orcos, 0 0 0 0 0 1 
